Indicator Sequence,Parent Sequence,Agency Name,Indicator Name,Description,Category,Frequency,Desired Change,Indicator Unit,Decimal Places,Period Year,Period Month,YTD Target,YTD Actual,Monthly Target,Monthly Actual,Period
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2014,8,453973496,438925530,53550060,52351543,2014-08
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2014,9,513607090,497314502,59633594,58388972,2014-09
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2014,10,577050362,559383175,63443272,62068673,2014-10
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2014,11,632194967,612579547,55144605,53196372,2014-11
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2014,12,688984502,666909510,56789535,54329963,2014-12
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2015,1,53759634,49654222,53759634,49654222,2015-01
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2015,2,104410267,97199373,50650633,47545151,2015-02
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2015,3,165528710,154522813,61118443,57323440,2015-03
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2015,4,223121712,209714690,57593002,55191877,2015-04
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2015,5,281747651,266839590,58625939,57124900,2015-05
204043,203943,NYC Transit,Total Ridership - NYCT Bus ,"The number of passengers from whom the agency receives a fare, either through direct fare payment (cash, Pay-Per-Ride MetroCards, Unlimited Ride MetroCards, etc.) or fare reimbursements (senior citizens, school children). Passengers who use free transfers from train-to-bus, bus-to-train, or bus-to-bus are counted as additional passengers even though they are not paying additional fares. Paratransit riders are not included. Ridership data is preliminary and subject to revision as well as adjustments warranted by annual audit review.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",Service Indicators,M,U,-,0,2015,6,339286517,321786936,57538866,54947346,2015-06
